bbl,address1,address2,zip,status1,status2,status3
2025050003,1070 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050006,1080 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050011,1088 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050015,1092 ANDERSON AVE,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2025050017,1098 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050040,1110 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050046,1130 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025050050,1140-1150 ANDERSON AVE,,10452,MULTIPLE DWELLING B,,
2025100063,1172 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025100067,1178 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025100069,1180 ANDERSON AVE,,10452,MULTIPLE DWELLING B,,
2025100040,1187 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025100040,1191-1195 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025040030,901 ANDERSON AVE,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2025040053,946 ANDERSON AVE,,10452,MULTIPLE DWELLING B,GARDEN COMPLEX,
2025040059,954 ANDERSON AVE,,10452,MULTIPLE DWELLING B,GARDEN COMPLEX,
2025040060,956 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025040062,960 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025070029,963 ANDERSON AVE,,10452,MULTIPLE DWELLING A,J-51,
2025040072,974 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025070024,985 ANDERSON AVE,,10452,MULTIPLE DWELLING A,,
2025040075,990 ANDERSON AVE,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2024960034,1160 CROMWELL AVE,,10452,MULTIPLE DWELLING A,,
2024960040,1164 CROMWELL AVE,,10452,MULTIPLE DWELLING A,,
2024960046,1184 CROMWELL AVE,,10452,MULTIPLE DWELLING A,,
2025270001,1001 DR MARTIN L KING JR BLVD,,10452,MULTIPLE DWELLING A,,
2025260159,1096 DR MARTIN L KING JR BLVD,,10452,MULTIPLE DWELLING A,421-A,
2025280011,1212 DR MARTIN L KING JR BLVD,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2025370047,1425 DR MARTIN L KING JR BLVD,1425 UNIVERSITY AVE,10452,MULTIPLE DWELLING A,,
2024840015,70 E 162ND ST,,10452,MULTIPLE DWELLING A,,
2024720001,149 E 165TH ST,,10452,MULTIPLE DWELLING A,,
2024710021,150 E 165TH ST,,10452,MULTIPLE DWELLING A,,
2024720032,153 E 165TH ST,,10452,MULTIPLE DWELLING A,,
2024650001,111 E 167TH ST,,10452,MULTIPLE DWELLING A,,
2024960052,2-6 E 167TH ST,,10452,MULTIPLE DWELLING A,,
2024650034,114 E 168TH ST,,10452,MULTIPLE DWELLING A,,
2024660040,155 E 168TH ST,,10452,MULTIPLE DWELLING A,,
2024800001,50 E 168TH ST,,10452,MULTIPLE DWELLING A,,
2028390083,115 E 169TH ST,,10452,MULTIPLE DWELLING A,J-51,
2024810011,16 E 169TH ST,,10452,MULTIPLE DWELLING A,,
2028390036,27 E 169TH ST,,10452,MULTIPLE DWELLING A,,
2024810019,38-40 E 169TH ST,,10452,MULTIPLE DWELLING A,J-51,
2028330014,152-156 E 171ST ST,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028440050,50 E 172ND ST,1474-1476 TOWNSEND AVE,10452,MULTIPLE DWELLING A,,
2028400047,105 E CLARKE PL,1320 WALTON AVE,10452,MULTIPLE DWELLING A,,
2028390041,108 E CLARKE PL,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028390010,12 E CLARKE PL,,10452,MULTIPLE DWELLING A,,
2028400088,121 E CLARKE PL,,10452,MULTIPLE DWELLING A,,
2028390053,128 E CLARKE PL,,10452,MULTIPLE DWELLING A,,
2028400038,15 E CLARKE PL,,10452,MULTIPLE DWELLING A,,
2028390014,20 E CLARKE PL,,10452,MULTIPLE DWELLING A,,
2028390018,30 E CLARKE PL,,10452,MULTIPLE DWELLING A,J-51,
2028400022,31-35 E CLARKE PL,,10452,MULTIPLE DWELLING A,,
2028380027,117-123 E MOUNT EDEN AVE,,10452,MULTIPLE DWELLING A,,
2025060104,1275-1279 EDWARD L GRANT HWY,,10452,MULTIPLE DWELLING A,,
2025060147,1307 EDWARD L GRANT HWY,,10452,MULTIPLE DWELLING A,,
2025060138,1325 EDWARD L GRANT HWY,,10452,MULTIPLE DWELLING A,,
2025060134,1337 EDWARD L GRANT HWY,,10452,MULTIPLE DWELLING A,,
2025220098,1439-1449 EDWARD L GRANT HWY,,10452,MULTIPLE DWELLING A,,
2028410045,104-106 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028420038,105-107 ELLIOT PL,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028410050,114-116 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028420080,119-125 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028410055,124-130 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028420071,133-135 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028410061,134 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028420033,15 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028410010,16 ELLIOT PL,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028410014,22-24 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028420029,23-25 ELLIOT PL,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028410018,38-44 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028420023,41-45 ELLIOT PL,,10452,MULTIPLE DWELLING A,,
2028740097,124 FEATHERBED LN,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028610005,15 FEATHERBED LN,,10452,MULTIPLE DWELLING A,,
2028650126,37 FEATHERBED LN,,10452,MULTIPLE DWELLING A,,
2028650129,47 FEATHERBED LN,,10452,MULTIPLE DWELLING A,,
2028650103,54-56 FEATHERBED LN,,10452,MULTIPLE DWELLING A,,
2028760031,65 FEATHERBED LN,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028760037,81 FEATHERBED LN,,10452,MULTIPLE DWELLING A,,
2028760040,93 FEATHERBED LN,,10452,MULTIPLE DWELLING A,,
2028760043,99 FEATHERBED LN,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2024770001,1006 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024770007,1014 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024860030,1015 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024770011,1020 GERARD AVE,,10452,MULTIPLE DWELLING A,,
